한자,음,훈,부수,총획수,설명
人,,,,,
大,,,,,
小,,,,,
中,,,,,
日,,,,,
月,,,,,
水,,,,,
火,,,,,
木,,,,,
金,,,,,
土,,,,,
天,,,,,
地,,,,,
山,,,,,
川,,,,,
風,,,,,
雨,,,,,
雷,,,,,
電,,,,,
雲,,,,,
